open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1670158800000,1256.65,1256.81,1250.21,1254.13,88295.668,1670162399999,110716385.26434,68726,40090.929,50273339.04227,0
1670162400000,1254.12,1261.49,1250.00,1259.17,179276.493,1670165999999,225007270.59326,109676,98099.421,123152640.76295,0
1670166000000,1259.16,1262.39,1256.21,1259.44,155073.438,1670169599999,195262250.57798,101587,84073.218,105873647.69578,0
1670169600000,1259.44,1266.45,1257.00,1258.84,172629.877,1670173199999,217709570.32573,110657,84282.678,106319947.68021,0
1670173200000,1258.85,1270.67,1255.94,1268.41,154415.212,1670176799999,194808863.09571,94203,93877.562,118475781.16387,0
1670176800000,1268.40,1278.76,1266.00,1272.96,492747.902,1670180399999,626369123.60574,219763,255631.826,324994462.50554,0
1670180400000,1272.97,1283.00,1269.12,1278.00,325587.904,1670183999999,415649841.02793,155330,172228.890,219882018.36400,0
1670184000000,1278.01,1282.88,1276.00,1277.10,133732.766,1670187599999,171004854.32256,92267,71790.967,91815067.02841,0
1670187600000,1277.11,1277.64,1273.49,1275.93,100794.198,1670191199999,128587436.65485,69457,49229.186,62807768.94949,0
1670191200000,1275.93,1276.51,1271.40,1274.91,82251.914,1670194799999,104832016.65804,61671,40190.663,51229724.97619,0
1670194800000,1274.90,1287.99,1274.40,1278.82,224305.107,1670198399999,287057241.66762,136289,124603.588,159500937.32884,0
1670198400000,1278.82,1294.05,1276.10,1288.26,353808.834,1670201999999,455162873.87482,191896,189951.975,244396198.92775,0
1670202000000,1288.27,1291.53,1285.55,1290.15,150172.608,1670205599999,193491040.55824,96954,80295.646,103472329.45701,0
1670205600000,1290.14,1297.77,1288.23,1291.49,212825.697,1670209199999,275104254.13733,130666,106747.357,138008601.23704,0
1670209200000,1291.50,1296.80,1289.33,1290.34,174349.987,1670212799999,225400776.68378,114058,78603.726,101623650.04039,0
