open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1668470400000,16605.30,17127.20,16516.70,16888.30,649349.458,1668556799999,10938869739.93734,4117920,328279.885,5530694580.00536,0
1668556800000,16888.30,17007.40,16358.00,16650.60,537241.645,1668643199999,8944296635.42915,3478826,266222.725,4433336578.20557,0
1668643200000,16650.70,16741.70,16403.30,16682.10,408989.285,1668729599999,6784537154.32738,2605870,205691.358,3412432571.32574,0
1668729600000,16682.10,16984.40,16541.10,16689.70,388612.842,1668815999999,6506820289.13927,2336444,197146.935,3301435563.80423,0
1668816000000,16689.70,16814.50,16543.80,16692.90,171822.915,1668902399999,2861333541.49620,1141671,86114.175,1434045898.61490,0
1668902400000,16693.00,16743.90,16167.10,16272.60,327599.214,1668988799999,5406658335.48391,1896705,159651.534,2635111226.61870,0
1668988800000,16272.70,16304.30,15443.20,15773.00,790219.365,1669075199999,12615525683.34995,4284344,387859.776,6193711202.09852,0
1669075200000,15772.90,16309.00,15610.30,16220.60,579333.644,1669161599999,9247607752.32879,3438309,298913.634,4772492195.87961,0
1669161600000,16220.50,16703.40,16155.50,16595.80,546714.910,1669247999999,9010060479.37584,3319572,280154.178,4617585054.31714,0
1669248000000,16595.80,16800.00,16450.00,16592.40,351024.418,1669334399999,5829469816.57378,2224179,176391.185,2929822123.48014,0
1669334400000,16592.50,16639.90,16331.70,16516.10,306560.116,1669420799999,5053312513.95950,1798061,152812.182,2519424576.18730,0
1669420800000,16516.20,16699.10,16369.10,16449.20,253401.659,1669507199999,4194530429.93170,1518627,126629.776,2096469025.55480,0
1669507200000,16449.20,16594.20,16396.00,16422.60,189370.345,1669593599999,3128892691.87660,1165521,95297.449,1574638605.16320,0
1669593600000,16422.50,16475.00,15984.10,16204.50,497137.869,1669679999999,8055102077.13727,2736780,247420.181,4009316678.03800,0
1669680000000,16204.60,16543.00,16088.00,16433.20,391410.854,1669766399999,6420893173.50274,2098706,200297.135,3286258934.01994,0
1669766400000,16433.30,17248.30,16421.50,17153.30,620324.950,1669852799999,10484678949.19782,3197448,324532.119,5484868596.62088,0
1669852800000,17153.40,17348.50,16851.20,16970.50,411051.309,1669939199999,7012379504.74513,2195426,203203.470,3467383896.16830,0
1669939200000,16970.50,17096.30,16760.00,17083.00,335039.215,1670025599999,5677269598.43320,1885103,169750.685,2877006307.69710,0
1670025600000,17083.00,17160.00,16850.10,16879.50,185257.242,1670111999999,3142125597.72860,1120052,91150.269,1546125066.87140,0
1670112000000,16879.50,17206.20,16874.10,17099.50,292090.868,1670198399999,4972708169.36580,1618863,153355.380,2611199881.52110,0
1670198400000,17099.50,17430.00,16860.60,16958.30,519961.390,1670284799999,8927523671.51991,2926850,255808.742,4393254058.16398,0
1670284800000,16958.20,17100.00,16899.90,17078.60,321330.613,1670371199999,5459567210.68660,1999108,163623.517,2780385201.01780,0
1670371200000,17078.70,17130.00,16655.00,16828.00,337778.925,1670457599999,5692590254.44704,1894001,162494.520,2738398161.19370,0
1670457600000,16828.00,17294.90,16710.40,17216.00,402157.335,1670543999999,6833210695.12541,2123523,212725.266,3615373453.22581,0
1670544000000,17216.00,17365.40,17052.00,17122.00,290231.183,1670630399999,4985683348.19390,1628630,145233.326,2495336272.14220,0
1670630400000,17122.00,17228.60,17081.00,17120.00,141895.207,1670716799999,2433765605.01130,868846,72264.377,1239539864.60900,0
1670716800000,17120.10,17265.00,17060.00,17077.30,171004.111,1670803199999,2932155202.03910,1012706,84191.709,1443762775.84990,0
1670803200000,17077.30,17237.90,16865.00,17200.00,335856.258,1670889599999,5711628347.72763,1742321,169725.380,2887096959.11760,0
1670889600000,17200.00,18100.00,17076.00,17777.10,596851.291,1670975999999,10490862496.70048,3060185,312688.716,5496071258.25060,0
1670976000000,17777.10,18400.00,17659.40,17803.90,627511.699,1671062399999,11268618570.91463,3317163,320955.657,5765108789.94941,0
1671062400000,17804.00,17849.50,17258.00,17351.80,437284.037,1671148799999,7667339751.05844,2399085,207475.110,3638418054.33910,0
1671148800000,17351.90,17528.00,16521.10,16624.10,622150.245,1671235199999,10567832471.04395,3252339,300805.629,5110619125.91950,0
